﻿丽都霄云路，风景线东南三居，满五年，低楼层，出售,39.97141901878515,116.4819105200051,2002年,736,2018-05-22,40688583,3室2厅2卫,底层/24层,自供暖,134.13平米
﻿急售、急售、五年一套，南向三居，户型方正,39.874419609459199,116.49408696158322,2005年,775,2018-05-21,40684088,3室2厅2卫,低楼层/23层,集中供暖,132.75平米
﻿望京 花家地南里 板楼低楼层大三居 明厨明卫,39.979286093344068,116.47103406332701,1992年,830,2018-08-26,41371020,3室1厅1卫,低楼层/7层,集中供暖,128.3平米
﻿东三环 经典三居室全南向 无遮挡,39.874362513198658,116.45881205414105,2001年,800,2018-06-28,40967467,3室2厅2卫,中楼层/28层,自供暖,146.06平米
﻿绿港家园四区 精装修三室二厅二卫南北通透 满五年一套,40.13701155118213,116.66233448810962,2008年,705,2018-06-23,40930538,3室2厅2卫,低楼层/20层,集中供暖,166.42平米
﻿晨光家园B区三室二厅二卫,39.92556150710766,116.50416893419397,2006年,870,2017-04-20,37527923,3室2厅2卫,低楼层/21层,集中供暖,136平米
﻿晨光家园B区三室二厅二卫,39.92556150710766,116.50416893419397,2006年,860,2017-03-08,37175447,3室2厅2卫,顶层/13层,集中供暖,135平米
﻿东坝地铁3号线+奥林匹克花园诚售三居+二次装修给换房周期,39.957542604745068,116.54228966927319,2009年,860,2018-08-20,41328238,3室2厅2卫,低楼层/9层,自供暖,139.72平米
﻿雍景四季 中楼层精装大三居 满五唯一 小区门口地铁6号线,39.93248255680425,116.20414765051786,2009年,860,2018-08-17,41306909,3室2厅2卫,中楼层/23层,集中供暖,145.87平米
﻿三环边+三居+西南向+环境优美+集中供暖+改善必选,39.85787926101443,116.43574906353526,2003年,730,2018-06-25,40945797,3室2厅2卫,高楼层/29层,集中供暖,120.89平米
﻿鸿坤理想城礼域府 南北通透 三居室 中间位置,39.794124782008207,116.3441260338709,2008年,790,2017-06-12,37947345,3室2厅2卫,底层/20层,自供暖,139.9平米
﻿幸福路6号院 东西通透，复试结构 三室二厅二卫 诚意出售,39.866839197567617,116.37581708563504,2003年,720,2015-03-17,32537999,3室2厅2卫,顶层/6层,集中供暖,162.84平米
﻿朝阳园一期三室，人车分流，涉外公寓，出行方便,39.91824977454243,116.51725403939135,2001年,750,2018-08-24,41355881,3室2厅2卫,高楼层/29层,集中供暖,125.18平米
﻿鲁能花园洋房，南北通透，复试，采光充足,40.17681088603835,116.65674519951944,2010年,870,2017-03-14,37223007,3室2厅2卫,中楼层/8层,自供暖,186.77平米
﻿农光里，3居2厅2卫，2卧朝南，精装修,39.882364631177299,116.46433832532564,2003年,740,2018-10-08,41690821,3室2厅2卫,顶层/22层,集中供暖,123.95平米
﻿东城区 望陶园三室一厅一卫,39.864422877163878,116.393885113898,2004年,780,2018-01-21,39876191,3室1厅1卫,中楼层/18层,集中供暖,134.11平米
﻿恒松园双卫三居，满五年一套不临街有租赁车位,39.85794512599851,116.41908952543824,2000年,820,2018-10-06,41675333,3室2厅2卫,高楼层/25层,集中供暖,165.48平米
﻿雍景四季 中楼层精装大三居 满五唯一 小区门口地铁6号线,39.93248255680425,116.20414765051786,2009年,880,2018-09-18,41546044,3室2厅2卫,中楼层/23层,集中供暖,139.62平米
﻿龙泽苑西区一层带院 大三居 满五年,40.07299490223857,116.32110064287258,2000年,730,2018-09-12,41498223,3室2厅2卫,底层/6层,集中供暖,131.78平米
﻿马家堡地铁四号线 润景家园 北京南站 东南北三居 满5年唯一,39.85550425529675,116.3694932078357,2005年,760,2018-07-08,41034913,3室2厅2卫,中楼层/24层,集中供暖,124.71平米
﻿融景城  南北通透三室两厅两卫  精装修,39.89497684062155,116.20670260873092,2011年,800,2018-07-18,41101239,3室2厅2卫,中楼层/26层,集中供暖,132.38平米
﻿捡漏！潘家园松榆西里烟草局家属院 独院管理  业主着急出售,39.87576602315352,116.4658780882269,2000年,800,2018-07-03,41000767,3室2厅1卫,顶层/6层,集中供暖,148.11平米
﻿马家堡 西马金润南北通透大三居居 满五年,39.83784235411685,116.38297664391607,2006年,715,2018-01-27,39915435,3室2厅2卫,高楼层/6层,集中供暖,147.4平米
