2004年,39.842264305869608,自供暖,41795997,116.38416792713974,3室2厅2卫,2018-10-21,738,马家堡角门 怡然家园 电梯房 满五年一套住房,133.66平米,高楼层/16层
﻿2005年,39.84287161388849,集中供暖,41507477,116.37373017200813,3室2厅2卫,2018-09-13,850,地铁十号线四号线角门西站旁瑞丽江畔东南三居室马家堡西路,141.65平米,低楼层/21层
﻿2009年,39.95952353620509,自供暖,40574263,116.54525007733763,3室2厅2卫,2018-05-06,790,东坝奥园主力三居 前后不临街 满五年唯一 无遮挡 随时看房,126.95平米,中楼层/9层
﻿1998年,39.867201189924717,集中供暖,41740110,116.43592445639433,3室1厅2卫,2018-10-14,720,二环边单价4.7万 三居 满五年一套 地铁14号线 看房随时,153平米,低楼层/25层
﻿1996年,39.86951378402764,集中供暖,40519795,116.43550675653209,3室2厅2卫,2018-04-28,717,新上！！南北通透三居室。同小区xing价比高,117.7平米,低楼层/26层
﻿2003年,39.76017827823155,自供暖,41786030,116.32545679557802,3室2厅2卫,2018-10-20,760,原生墅 南北三居 2层，小区中心，满五年且一套住房,142.5平米,低楼层/6层
﻿2006年,39.84554431906123,集中供暖,41787267,116.31643490872858,3室2厅2卫,2018-10-20,880,首经贸地铁口 万年花城板楼南北向三居 满五年V1 诚售,126.75平米,中楼层/10层
﻿2012年,39.76486821019573,自供暖,41590443,116.33628908835679,3室2厅2卫,2018-09-23,735,客厅带7.8平大阳台，宽广明亮，明厨明卫,138.04平米,中楼层/12层
﻿2006年,39.929461587418128,自供暖,41090821,116.59729523976778,3室2厅2卫,2018-07-16,730,常营6号线常营站商品房封闭性社区使用率高楼看房方便,148.8平米,低楼层/17层
﻿2001年,39.999886696235737,自供暖,41681337,116.47526021006353,3室1厅2卫,2018-10-07,860,望京西园三区 边户型 南北通透三居 满五唯一 全明格局,136.12平米,高楼层/22层
﻿2012年,39.75416948798817,集中供暖,41625937,116.330276951652,3室2厅2卫,2018-09-28,710,枣园地铁口，中建国际港，精装三居室，楼层好，看房随时,130.24平米,高楼层/34层
﻿2006年,39.934330036099549,集中供暖,41584978,116.51312018522556,3室2厅2卫,2018-09-22,858,高层全视墅大三居 五年一套,136.11平米,高楼层/27层
﻿1999年,39.9296220560065,集中供暖,41533332,116.48295586701799,3室1厅1卫,2018-09-16,745,（幸福我家）碧水园品质小区，高层大三居双阳台，两厅，亮度高,122.59平米,中楼层/22层
﻿1998年,39.98246110348387,集中供暖,41472306,116.43420609400877,3室1厅2卫,2018-09-09,720,芍药居人大附 精装3居 满五年公房 低于同户型100万,115.96平米,中楼层/18层
﻿2003年,39.86361462898721,自供暖,41435956,116.3936047730343,3室2厅1卫,2018-09-04,880,悠胜美苑大客厅，格局好的三居新品上市,127.82平米,高楼层/18层
﻿2006年,39.83911331747548,集中供暖,41377698,116.32047839873076,3室2厅2卫,2018-08-26,830,万年花城一期 南北通透精装三居 满五年 830万随时看房,117.34平米,顶层/16层
﻿2005年,39.89047466601609,集中供暖,41027749,116.46479493793405,3室2厅2卫,2018-07-07,790,东南向大三居 满五唯一商品房 欧式装修 采光好,139.72平米,中楼层/28层
﻿2005年,39.874419609459199,集中供暖,40734804,116.49408696158322,3室2厅2卫,2018-05-28,870,东南四环窑洼湖桥南北通透三居室中间楼层视野开阔采光充足,143.06平米,低楼层/23层
﻿2009年,39.93147042184093,集中供暖,40652924,116.59737560676186,3室2厅2卫,2018-05-17,828,万象新天 天际高尔夫 南北三居 采光好 诚意出售,154.47平米,低楼层/20层
﻿2002年,39.910112580510709,集中供暖,40362219,116.52441656686755,3室2厅2卫,2018-04-07,765,朝青大悦城 兴隆家园二期 东南三室两卫 满五年一套免征个税,134.64平米,低楼层/24层
﻿2010年,39.86302820199891,自供暖,38404796,116.40542717008577,3室1厅2卫,2017-07-30,759,东城区 永定门华龙美晟南北通透三居室 商品房成熟社区,113.87平米,底层/14层
﻿2003年,39.866839197567617,集中供暖,32537999,116.37581708563504,3室2厅2卫,2015-03-17,720,幸福路6号院 东西通透，复试结构 三室二厅二卫 诚意出售,162.84平米,顶层/6层
﻿2005年,39.88752645842264,自供暖,41594031,116.25912340549567,3室2厅2卫,2018-09-23,795,西四环 大成路 南北大三居 小区中间位置 采光好,141.68平米,低楼层/11层
﻿1999年,40.07493072907663,集中供暖,41248070,116.36213723232319,3室1厅2卫,2018-08-08,900,满五过户+豪华装修+商品房新小区+霍营站500米,125.06平米,高楼层/11层
﻿2001年,40.006657180030988,自供暖,41162177,116.40938417319014,3室2厅2卫,2018-07-27,830,森林公园边上 地下车位充中 正对紫玉山庄,131.65平米,低楼层/29层
﻿2008年,39.838531101892048,集中供暖,41489890,116.36941783583983,3室1厅1卫,2018-09-11,840,地铁边星河苑出售精装南北双通透大三居室可做四居使用,122.3平米,高楼层/12层
﻿2015年,39.75416948798817,集中供暖,41466298,116.330276951652,3室2厅2卫,2018-09-08,700,枣园地铁口，中建国际港，三居室，精装修，楼层好，看房随时,130.24平米,中楼层/35层
﻿2008年,39.89625516623177,集中供暖,40884306,116.50559342415368,3室2厅2卫,2018-06-16,800,新上沿海南北双卫三居室，双卧朝南，方正户型，只有契税随时看,127.36平米,低楼层/24层
﻿2004年,39.83325032576818,自供暖,40822885,116.36510649044355,3室2厅2卫,2018-06-08,830,马家堡 城南嘉园  精装修通透三居 满五一套,124.53平米,高楼层/10层
﻿2005年,39.874419609459199,集中供暖,40684088,116.49408696158322,3室2厅2卫,2018-05-21,775,急售、急售、五年一套，南向三居，户型方正,132.75平米,低楼层/23层
﻿2006年,39.84554084645028,集中供暖,40941381,116.31681268346914,3室1厅2卫,2018-06-24,880,首经贸地铁 全南向三居 满五年且名下一套住房 有钥匙,126.57平米,中楼层/29层
﻿2008年,40.13701155118213,集中供暖,40930538,116.66233448810962,3室2厅2卫,2018-06-23,705,绿港家园四区 精装修三室二厅二卫南北通透 满五年一套,166.42平米,低楼层/20层
﻿2008年,39.794124782008207,自供暖,41359485,116.3441260338709,3室2厅2卫,2018-08-24,730,理想城礼域府西南向三居 诚心出售 看房方便,128.36平米,低楼层/20层
