低楼层/26层,37694174,116.4059456807339,790,2017-05-11,1999年,慧忠北里第一社区三室二厅二卫,3室2厅2卫,133.1平米,集中供暖,40.00683895417831
﻿低楼层/27层,41216145,116.51312018522556,780,2018-08-04,2006年,国美东南三居 满五唯一  看房方便 诚意出售,3室2厅2卫,124.49平米,集中供暖,39.934330036099549
﻿中楼层/24层,41492092,116.4199272137123,720,2018-09-11,2001年,三环边地铁口电梯钢混南北3居 明厨明卫 满五一套,3室2厅2卫,141.3平米,集中供暖,39.854588948183458
﻿高楼层/25层,41480445,116.42792923932989,750,2018-09-10,2005年,北苑家园清友园，南向三居室，高层无遮挡，正对小区花园,3室1厅2卫,140.86平米,集中供暖,40.03933719392153
﻿高楼层/6层,41438893,116.33980947867525,730,2018-09-04,2004年,电梯洋房，小区中央位置安静，业主诚售,3室2厅2卫,140.11平米,自供暖,40.09128548620643
﻿中楼层/5层,41404152,116.50222263084153,780,2018-08-31,2004年,郁金香舍三居！格局方正！南北通透！前后无遮挡,3室1厅1卫,129.5平米,集中供暖,39.79259651352175
﻿中楼层/4层,41307158,116.55304266188704,720,2018-08-17,1998年,万科中楼层，精装修拎包即住，南北通透,3室1厅2卫,155.24平米,集中供暖,40.10415994456607
﻿高楼层/30层,41197304,116.47588557211415,880,2018-08-01,2001年,现代城 东北向三居室 满五年唯一 业主自己住的,3室1厅2卫,141.19平米,自供暖,39.90625636582404
﻿中楼层/12层,41061893,116.55192971001296,710,2018-07-12,,2000年 电梯房 大三房 观景房,3室2厅2卫,159.18平米,集中供暖,40.103959639151188
﻿中楼层/15层,40874668,116.3007620492744,850,2018-06-15,,领秀慧谷高端社区优质三居室业主诚心卖房,3室2厅2卫,139.59平米,自供暖,40.09932753567761
﻿中楼层/4层,40824685,116.42477413782713,850,2018-06-08,2005年,紫荆城上叠别墅 商五且一套 送露台,3室2厅2卫,172.08平米,自供暖,40.10572900953442
﻿低楼层/6层,40765197,116.50222263084153,740,2018-05-31,2004年,本房满五唯一 高档社区 户型好 落地窗,3室2厅2卫,133.25平米,集中供暖,39.79259651352175
﻿高楼层/11层,39090871,116.32835763598369,800,2017-10-17,2001年,金榜园三室二厅二卫,3室2厅2卫,128.66平米,集中供暖,40.06011265545104
﻿底层/3层,41648862,116.53584192376508,760,2018-10-01,2007年,联排别墅，满5年一套，诚心出售，看房方便,3室2厅2卫,235.56平米,自供暖,39.74841664915485
﻿顶层/6层,41645165,116.25777306715712,770,2018-09-30,2001年,玉海园南北三居室看房方便,3室2厅2卫,119.28平米,集中供暖,39.919168497597748
﻿高楼层/27层,41636908,116.4240349472843,750,2018-09-29,2004年,北苑家园绣菊园 正规三居室 西南朝向,3室2厅2卫,139.32平米,集中供暖,40.0430378108664
﻿中楼层/24层,41617905,116.36203084619942,740,2018-09-27,2002年,玺萌鹏苑 3室中间层 满二年,3室1厅1卫,115.78平米,集中供暖,39.85203670039148
﻿中楼层/24层,41603645,116.36203084619942,750,2018-09-25,2002年,南三环玺萌鹏苑3居室，满五年,3室1厅1卫,114.66平米,集中供暖,39.85203670039148
﻿高楼层/12层,41600656,116.56603377413694,850,2018-09-25,2006年,富力又一城A区南北通透大三居173.13平米850万,3室2厅2卫,173.13平米,自供暖,39.84732912260175
﻿高楼层/24层,41600094,116.28998573104018,815,2018-09-24,2001年,丰台西四环南路七里庄 庄维花园东南 三居室,3室2厅2卫,135.88平米,集中供暖,39.86423073832494
﻿顶层/27层,41578027,116.40600857458252,868,2018-09-21,2002年,南三环 赵公口 木樨园 近天坛东南户型,3室1厅1卫,144.87平米,集中供暖,39.857682123743717
﻿高楼层/30层,41468236,116.25912340549567,720,2018-09-08,2005年,长安新城西南三居室 高楼层 采光视野好,3室2厅2卫,127.08平米,自供暖,39.88752645842264
﻿中楼层/23层,41453494,116.4059456807339,780,2018-09-06,1999年,慧忠北里三居室750万可出售,3室2厅1卫,117.59平米,集中供暖,40.00683895417831
﻿低楼层/26层,41390246,116.47592281328181,850,2018-08-28,1998年,全天采光无遮挡+业主诚意出售,3室1厅2卫,126.67平米,,39.99892770748108
﻿高楼层/30层,41379852,116.46865742703972,775,2018-08-27,2004年,望京站旁三居两卫价格美丽,3室2厅2卫,154.57平米,集中供暖,40.00277796934319
﻿顶层/6层,41362363,116.32855570436066,800,2018-08-25,,赠送阁楼，南北通透，三室两厅两卫,3室2厅2卫,141.1平米,集中供暖,39.73852407853858
